Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb0,Zn (ppb),Cr_level,Cr_level1
39.14563889,-121.75569440000001,USGS,ESAC-19,ESAC-19,ESAC-19,1.1,9.2,147.0,40100.0,11600.0,7.2,0.72,240.0,7.8,3470.0,18400.0,0.26,1.09,0.14,537.0,0.43,0.58,25000.0,342.0,1.4504,22.7,3.2,3,Normal Cr
39.14563889,-121.75569440000001,USGS,ESAC-19,ESAC-19,ESAC-19,3.0,9.2,141.0,39900.0,11500.0,6.7,3.9,250.0,6.0,3540.0,17800.0,0.4,1.29,0.2,503.0,0.604,0.58,24500.0,329.0,1.48,24.4,4.4,3,Normal Cr
39.24502778,-121.95508329999998,USGS,ESAC-21,ESAC-21,ESAC-21,1.5,80.6,461.0,58200.0,626000.0,0.04,0.4,100.0,221.0,8280.0,25000.0,257.0,16.5,0.07,60.0,0.51,0.08,900.0,460.0,0.03996,0.11,1.3,0,Normal Cr
39.76222222,-121.80622220000001,USGS,ESAC-25,ESAC-25,ESAC-25,1.3,0.83,12.6,17200.0,2070.0,0.73,0.57,90.0,6.0,1350.0,11300.0,0.2,0.27,0.12,544.0,0.15,0.06,2520.0,115.0,0.06956,30.6,1.2,0,Normal Cr
38.90786111,-121.79225,USGS,ESAC-26,ESAC-26,ESAC-26,1.7,23.1,39.1,8840.0,4120.0,0.02,1.2,140.0,6.1,1200.0,7850.0,80.2,4.25,0.18,60.0,0.26,0.08,4000.0,112.0,0.2072,9.6,1.3,0,Normal Cr
39.15472222,-121.59266670000001,USGS,ESAC-27,ESAC-27,ESAC-27,3.0,6.5,49.1,41400.0,19600.0,1.1,3.0,60.0,5.0,1680.0,29000.0,4.33,0.97,0.57,1110.0,1.12,0.24,24100.0,258.0,2.2348,8.4,0.93,1,Normal Cr
39.15472222,-121.59266670000001,USGS,ESAC-27,ESAC-27,ESAC-27,1.6,5.7,77.8,39600.0,19100.0,1.4,1.8,70.0,6.0,1630.0,31800.0,110.0,0.84,1.2,864.0,0.21,0.46,20600.0,300.0,3.108,10.6,8.6,1,Normal Cr
39.36655501,-121.69330559999999,USGS,ESAC-28,ESAC-28,ESAC-28,3.0,10.3,49.9,24100.0,5550.0,7.0,0.62,120.0,5.0,2630.0,27200.0,0.4,1.05,0.2,1620.0,0.23,0.1,6820.0,197.0,1.6132,26.5,9.0,3,Normal Cr
39.36655501,-121.69330559999999,USGS,ESAC-28,ESAC-28,ESAC-28,1.6,10.1,52.1,25200.0,5320.0,6.9,0.97,140.0,6.0,2620.0,26400.0,1.28,1.1,0.11,1620.0,0.31,0.12,7430.0,179.0,1.41044,26.2,1.3,3,Normal Cr
38.79319444,-121.68858329999999,USGS,ESAC-29,ESAC-29,ESAC-29,1.2,9.2,141.0,24500.0,15000.0,0.03,0.4,80.0,295.0,2440.0,15600.0,219.0,3.99,0.09,60.0,0.08,0.08,10600.0,276.0,0.444,0.42,12.2,0,Normal Cr
39.06316667,-121.83783329999999,USGS,ESAC-30,ESAC-30,ESAC-30,1.0,17.0,38.0,18700.0,58500.0,0.03,0.25,110.0,4.0,1670.0,21700.0,99.6,1.43,0.08,120.0,0.15,0.31,7280.0,195.0,0.3848,35.0,0.97,0,Normal Cr
39.34058333,-121.94277779999999,USGS,ESAC-31,ESAC-31,ESAC-31,3.0,12.0,98.8,52000.0,27900.0,0.5,0.4,80.0,19.1,2230.0,32200.0,21.8,2.25,0.2,44.0,0.94,0.1,18600.0,476.0,1.8796,15.6,8.2,0,Normal Cr
39.34058333,-121.94277779999999,USGS,ESAC-31,ESAC-31,ESAC-31,0.8,8.8,124.0,50100.0,17900.0,0.12,2.1,80.0,16.9,2490.0,34600.0,72.2,2.56,0.13,128.0,0.1,0.05,17400.0,388.0,3.0932,13.9,0.92,0,Normal Cr
39.16266667,-121.57061110000001,USGS,ESAC-32,ESAC-32,ESAC-32,1.0,2.6,28.9,32500.0,4620.0,3.0,1.9,100.0,4.9,1450.0,21700.0,0.1,0.4,0.17,922.0,0.74,0.16,12600.0,227.0,1.08928,9.5,4.5,2,Normal Cr
39.48599742,-121.7541423,USGS,ESAC-34,ESAC-34,ESAC-34,1.7,5.5,90.4,50300.0,10900.0,4.6,1.0,100.0,6.0,1830.0,35300.0,0.2,0.47,0.13,889.0,0.04,0.31,36800.0,360.0,4.2328,42.5,7.6,2,Normal Cr
39.48599742,-121.7541423,USGS,ESAC-34,ESAC-34,ESAC-34,3.0,5.6,110.0,51300.0,13500.0,4.5,0.25,100.0,45.3,1840.0,34400.0,0.26,0.5720000000000001,0.1,821.0,0.061,0.34,40000.0,372.0,3.7148,40.1,3.5,2,Normal Cr
39.48599742,-121.7541423,USGS,ESAC-34,ESAC-34,ESAC-34,1.2,5.8,111.0,58200.0,13500.0,4.9,0.27,110.0,6.0,1790.0,39600.0,2.56,0.59,0.2,711.0,0.21,0.36,38600.0,419.0,5.106,38.5,137.0,2,Normal Cr
39.60475,-121.89525,USGS,ESAC-35,ESAC-35,ESAC-35,1.9,0.8,23.5,28800.0,2600.0,4.5,0.25,100.0,6.0,1550.0,19200.0,0.2,0.4,0.06,756.0,0.1,0.05,8380.0,197.0,1.04932,22.4,0.84,2,Normal Cr
